Mine,Ndvi,Slope,Rainfall,Label,Year,FoS
Korba,0.62,23.2,378.6,Unstable,2010,1.14
Korba,0.23,11.0,829.1,Stable,2011,1.9
Korba,0.54,15.1,704.5,Unstable,2012,1.15
Korba,0.22,19.5,609.8,Stable,2013,1.69
Korba,0.37,23.8,536.1,Stable,2014,1.4
Korba,0.77,17.1,429.3,Stable,2015,1.95
Korba,0.31,24.3,574.9,Stable,2016,1.66
Korba,0.33,22.9,620.5,Unstable,2017,0.96
Korba,0.58,32.6,395.3,Stable,2018,1.71
Korba,0.21,27.3,565.7,Unstable,2019,1.04
Korba,0.28,17.1,842.5,Unstable,2020,0.86
Korba,0.25,32.5,839.3,Stable,2021,1.86
Korba,0.5,24.4,625.5,Unstable,2022,1.05
Korba,0.77,30.6,615.1,Stable,2023,1.75
Korba,0.77,12.3,342.8,Unstable,2024,1.23
Singrauli,0.45,31.4,847.7,Unstable,2010,1.04
Singrauli,0.65,23.2,864.3,Stable,2011,1.92
Singrauli,0.57,14.8,673.7,Unstable,2012,1.16
Singrauli,0.2,27.6,892.9,Stable,2013,1.64
Singrauli,0.6,17.3,746.2,Stable,2014,1.83
Singrauli,0.58,20.8,703.5,Unstable,2015,0.82
Singrauli,0.72,33.3,354.7,Stable,2016,1.54
Singrauli,0.25,26.2,589.1,Unstable,2017,0.9
Singrauli,0.5,21.5,331.1,Unstable,2018,0.82
Singrauli,0.58,31.6,697.4,Stable,2019,1.94
Singrauli,0.3,17.1,866.3,Unstable,2020,0.8
Singrauli,0.56,18.7,587.2,Stable,2021,1.78
Singrauli,0.2,16.3,689.3,Stable,2022,1.59
Singrauli,0.6,20.4,667.9,Unstable,2023,0.83
Singrauli,0.8,21.3,780.3,Unstable,2024,0.9
Talcher,0.27,11.3,301.6,Unstable,2010,0.86
Talcher,0.4,11.6,580.2,Unstable,2011,1.17
Talcher,0.43,21.3,754.8,Unstable,2012,1.23
Talcher,0.63,32.6,592.5,Stable,2013,1.73
Talcher,0.52,19.6,552.8,Stable,2014,1.52
Talcher,0.51,11.4,357.3,Unstable,2015,0.8
Talcher,0.5,22.4,646.1,Stable,2016,1.49
Talcher,0.22,10.4,376.9,Stable,2017,1.47
Talcher,0.37,10.8,747.0,Unstable,2018,0.84
Talcher,0.71,11.2,562.1,Unstable,2019,1.15
Talcher,0.49,13.7,372.8,Stable,2020,1.47
Talcher,0.23,24.3,486.1,Unstable,2021,1.21
Talcher,0.46,31.9,663.9,Stable,2022,1.6
Talcher,0.42,32.0,774.3,Stable,2023,1.59
Talcher,0.7,15.9,737.9,Stable,2024,1.91
Dhanbad,0.79,22.3,438.3,Stable,2010,1.55
Dhanbad,0.21,32.8,403.1,Stable,2011,1.35
Dhanbad,0.56,24.3,372.1,Unstable,2012,1.24
Dhanbad,0.5,25.7,439.7,Unstable,2013,1.16
Dhanbad,0.66,15.6,713.4,Stable,2014,1.75
Dhanbad,0.47,17.5,887.3,Stable,2015,1.34
Dhanbad,0.76,33.3,315.2,Stable,2016,1.75
